episode_id,instruction,stop_clause,rule_output,reason,fired,naive_last_landmark,agrees_with_naive,human_label,correct
156,Leave the bathroom.  Go through the door straight across the hall walk straight through the kitchen.  Turn left at the end of the bar turn left again and go in the room to the right stand in between the closet and the sink.,Turn left at the end of the bar turn left again and go in the room to the right stand in between the closet and the sink.,,ABSTAIN_empty_np,0,sink,0,,
166,"Go forward by the windows, and then stop by the lamp.",stop by the lamp.,lamp,LOC_by,1,lamp,1,,
171,Head across the room towards the front door then turn left. Go up the stairs and turn right. Enter the bedroom then wait.,Enter the bedroom,bedroom,PREV_CLAUSE_GOAL,1,bedroom,1,,
176,Go straight and then turn to the right and go to the bathroom door.  Go through the doorway and walk through the bathroom to the other door.  You will then be in a gym.  Stop when you get into this room and wait.,Stop when you get into this room and wait.,this room,REACH_CLAUSE,1,other door,0,,
181,Walk up stairs. At top of stairs turn right. Walk straight to bedroom. Turn left and walk to bed lamp.Turn left and enter closet. Stop at rug.,Stop at rug.,rug,LOC_at,1,stairs,0,,
187,Go down the hall past some plants towards a doorway to the hot tub and some lounge chairs.  Stop in front of the large tub.,Stop in front of the large tub.,large tub,LOC_in_front_of,1,large tub,1,,
190,Walk past the kitchen and go behind the couch and take a right into the fitness room. Stop next to the treadmill.,Stop next to the treadmill.,treadmill,LOC_next_to,1,treadmill,1,,
191,"Leave sitting room to living room, turn right around couch, turn left and follow couch turn slight right into exercise room and stop by treadmill.","Leave sitting room to living room, turn right around couch, turn left and follow couch turn slight right into exercise room and stop by treadmill.",treadmill,LOC_by,1,treadmill,1,,
207,Walk out of the room keeping the fireplace on your left. Walk down the long corridor and stop once you reach the next set of doors.,Walk down the long corridor and stop once you reach the next set of doors.,set of doors,REACH_CLAUSE,1,set of doors,1,,
218,Leave the bedroom and take a left in the hallway. Go straight and go into the room that is the second on the left. Stop in the doorway to the room.,Stop in the doorway to the room.,doorway  to the room,LOC_in,1,doorway,0,,
226,"Leave the bedroom and take a right in the hall, and walk straight. Take a left into the third entry way on your left and enter the bedroom. Stop in the doorway to the bedroom.",Stop in the doorway to the bedroom.,doorway  to the bedroom,LOC_in,1,doorway to the bedroom,0,,
232,"Exit the bathroom, go up the stairs, turn right, walk down the hall, enter the room at the end of the hall, wait at the sculpture.","Exit the bathroom, go up the stairs, turn right, walk down the hall, enter the room at the end of the hall, wait at the sculpture.",sculpture,LOC_at,1,sculpture,1,,
244,Go through the door and turn left. Go to the left of the stairs. Stop in the doorway to the left of the white double doors.,Stop in the doorway to the left of the white double doors.,doorway,LOC_in,1,doorway,1,,
247,"walk straight to hallway on right. turn right and follow hallway, at the end of hallway turn slight left and enter living room. Stop at couch.",Stop at couch.,couch,LOC_at,1,couch,1,,
259,"Exit the bathroom, wait at the white rug in the hallway.","Exit the bathroom, wait at the white rug in the hallway.",white rug,LOC_at,1,white rug,1,,
265,Walk towards oven and turn right through doorway. Go down hallway and turn left  and wait at bathroom.,Go down hallway and turn left  and wait at bathroom.,bathroom,LOC_at,1,bathroom,1,,
275,Walk past hall table. Walk into bedroom. Make left at table clock. Wait at bathroom door threshold.,Wait at bathroom door threshold.,bathroom door threshold,LOC_at,1,bathroom door threshold,1,,
308,Leave the bathroom and go into the bedroom. Leave the bedroom and go into the hallway. Stop at the edge of the table under the mirror in the hall.,Stop at the edge of the table under the mirror in the hall.,table,LOC_at,1,mirror,0,,
312,Leave the sauna and enter the pool room. Stand on the platform at the end of the pool near the lounge chairs.,Stand on the platform at the end of the pool near the lounge chairs.,platform,LOC_on,1,lounge chairs,0,,
321,"GO straight, take a left once you enter the bedroom. Stop in the bathroom.",Stop in the bathroom.,bathroom,LOC_in,1,bathroom,1,,
330,Walk down the flight of stairs to the lower level. Walk into the room ahead with the tile mosaic on the floor. Walk around the corner through the open arched door to the right with rug on the ground.,Walk around the corner through the open arched door to the right with rug on the ground.,,ABSTAIN_no_stop_clause,0,rug,0,,
338,Walk into the bedroom on the right of the stairs. Take a left before you reach the bed and wlk straight into the bathroom. Stop outside of the little room with the toilet.,Stop outside of the little room with the toilet.,little room,LOC_outside_of,1,little room with the toilet,0,,
348,Go up the stairs and take a left. Walk towards the couch and chairs in the sitting area. Walk through the sitting area and stop in front of the first door to the balcony on your left.,Walk through the sitting area and stop in front of the first door to the balcony on your left.,door  to the balcony,LOC_in_front_of,1,door to the balcony,0,,
362,Walk through kitchen. Make left after spider plant. Wait at open door on left.,Wait at open door on left.,open door,LOC_at,1,open door,1,,
371,Walk through the dining room and kitchen air to the short flight of stairs. Walk up the short flight of stairs. Wait by the door at the top of the stairs.,Wait by the door at the top of the stairs.,door,LOC_by,1,door,1,,
377,"Leave the bathroom and take a right. Walk down the hallway into the entry way and stop next to the console table on the right, and the banister to the stairs on the right.","Walk down the hallway into the entry way and stop next to the console table on the right, and the banister to the stairs on the right.",console table,LOC_next_to,1,banister,0,,
387,"Turn to the right and go out the bathroom door.  Turn to the right a little more.  Go through the galley kitchen.  Walk between the stove and the island.  When you get past the island, stop, and wait.","When you get past the island, stop, and wait.",,ABSTAIN_no_locative_prep,0,island,0,,
403,Turn right to walk through the right doorway. Walk through the left doorway. Stop at the entrance to the dining room.,Stop at the entrance to the dining room.,entrance  to the dining room,LOC_at,1,entrance to the dining room,0,,
411,Walk to the living room on the far side of the counter. Stop next to the end table next to the couch with the bookshelf on your right.,Stop next to the end table next to the couch with the bookshelf on your right.,end table,LOC_next_to,1,bookshelf,0,,
423,Turn left and walk across the hallway. Turn left again and walk across this hallway and wait by the bathtub.,Turn left again and walk across this hallway and wait by the bathtub.,bathtub,LOC_by,1,bathtub,1,,
432,Walk out through the door. Follow the red carpet to the right of the table. Stop in the next doorway.,Stop in the next doorway.,doorway,LOC_in,1,doorway,1,,
439,Turn around and walk through the door into the hallway. Turn left and go forward and stop next to the bed. Then turn left and go into the bathroom.,Then turn left and go into the bathroom.,bathroom,POST_STOP_MOTION,1,bathroom,1,,
447,Go down the walkway between the bar and the floor cabinets. Make a left at the door leading to the bedroom.,Make a left at the door leading to the bedroom.,bedroom,MOTION_GOAL,1,bedroom,1,,
454,Take a left and take a right at the doll hutch. Walk into the bedroom and take a left. Walk into the bathroom and wait in front of the sink.,Walk into the bathroom and wait in front of the sink.,sink,LOC_in_front_of,1,sink,1,,
461,"Turn around and walk past a wooden cabinet on the right.  Then turn to the right and walk in the bedroom.  Turn to the right again, and there will be a bathroom.  Stop right inside the doorway.  Wait there.",Stop right inside the doorway.,doorway,ANAPHORA_PREV_LOC_inside,1,doorway,1,,
469,Turn right and walk along the red carpet to your right. Walk past the doorway wait by the glass info panes.,Walk past the doorway wait by the glass info panes.,glass info panes,LOC_by,1,glass info panes,1,,
479,Walk along the carpet. Turn left and enter the rightmost doorway. Wait on the first few steps of the stairs.,Wait on the first few steps of the stairs.,steps of the stairs,LOC_on,1,stairs,0,,
513,"Go into the living area with the fireplace. Stop in the area between the two white sofas, next to the entrance to the dining room.","Stop in the area between the two white sofas, next to the entrance to the dining room.",area,LOC_in,1,entrance to the dining room,0,,
516,"Walk past the sink, and through the open door. Make a hard left at the closed brown and frosted glass french doors, and then a hard right.. Walk past the kitchen, and wait near the sofa end table.","Walk past the kitchen, and wait near the sofa end table.",sofa end table,LOC_near,1,sofa end table,1,,
526,Walk past sisal carpet runner. Wait at open white door.,Wait at open white door.,open white door,LOC_at,1,open white door,1,,
531,"Exit closet, and walk past bed. Walk out open bedroom door, and wait at top of stair landing.","Walk out open bedroom door, and wait at top of stair landing.",stair landing,LOC_at,1,stair landing,1,,
546,"Turn right, and then make a right again entering the room that is on the right of the painting placed on the wall. Walk inside the room, and stop next to the mirror sliding closet doors.","Walk inside the room, and stop next to the mirror sliding closet doors.",mirror sliding closet doors,LOC_next_to,1,mirror sliding closet doors,1,,
550,Take the leftmost door. Walk past the large painting to your left. Take a left and wait in the doorway.,Take a left and wait in the doorway.,doorway,LOC_in,1,doorway,1,,
559,Walk straight out the door in front of you and follow the red carpet. Keep going through the room with the ropes and stop when you enter the next room with ropes.,Keep going through the room with the ropes and stop when you enter the next room with ropes.,room,REACH_CLAUSE,1,next room with ropes,0,,
568,"Exit the room and then go down the hallway until you get a frame on the wall to your right with a bear and balloons that says ""welcome"" and wait there.","go down the hallway until you get a frame on the wall to your right with a bear and balloons that says ""welcome"" and wait there.",,ABSTAIN_anaphoric_there,0,"frame on the wall to your right with a bear and balloons that says ""welcome""",0,,
576,Walk through the bedroom and exit through the door left of the red bed. Head into the next room. Walk forward into next room. Stop at the next door exiting the room.,Stop at the next door exiting the room.,door exiting the room,LOC_at,1,next door,0,,
586,Go into the room with the tile floor and wait.,Go into the room with the tile floor and wait.,room,ANAPHORA_SAME_CLAUSE,1,room with the tile floor,0,,
602,Leave the bathroom and closet. Exit the bedroom and take a right. Enter the room on the right and stop in the doorway.,Enter the room on the right and stop in the doorway.,doorway,LOC_in,1,doorway,1,,
609,"Exit the kitchen, walk down the hall and wait in the exercise room.","Exit the kitchen, walk down the hall and wait in the exercise room.",exercise room,LOC_in,1,exercise room,1,,
620,Walk forward along the railing to the balcony. Go past the cabinet on your left. Stop on the rug before you pass the first bed.,Stop on the rug before you pass the first bed.,rug,LOC_on,1,bed,0,,
643,Take a sharp left. Walk under the chandelier and wait next to the billiards table.,Walk under the chandelier and wait next to the billiards table.,billiards table,LOC_next_to,1,chandelier billiards table,0,,
655,Leave the bedroom. Turn left into the hallway opposite the bookshelf. Go to the end of the hallway. Go left to the white couch.,Go left to the white couch.,white couch,MOTION_GOAL,1,white couch,1,,
670,"Go straight into the door in front of you, turn left and then turn left again to go into the bathroom. Wait by the second sink.",Wait by the second sink.,sink,LOC_by,1,second sink,0,,
677,"Go all the way down the hall until you see a white vase and then make a left. Following that, make a left directly into the bathroom which will be the first door on the left and wait there.","Following that, make a left directly into the bathroom which will be the first door on the left and wait there.",bathroom,ANAPHORA_SAME_CLAUSE,1,bathroom,1,,
698,Head out of the shower and out of the bathroom.  Go toward the bedroom.  Go in the bedroom and stop at the side of the bed.,Go in the bedroom and stop at the side of the bed.,bed,LOC_at,1,bed,1,,
705,Walk forward along red carpet. Stop at the fire extinguisher.,Stop at the fire extinguisher.,fire extinguisher,LOC_at,1,fire extinguisher,1,,
715,"walk through kitchen, turn right at bathroom, immediately left again and walk through doorway to bedroom and stop.","walk through kitchen, turn right at bathroom, immediately left again and walk through doorway to bedroom and stop.",doorway,ANAPHORA_SAME_CLAUSE,1,bedroom,0,,
721,Turn around and go to your left. Then go through the doorway on your left. Then turn right by the island.,Then turn right by the island.,,ABSTAIN_no_stop_clause,0,island,0,,
739,Exit bathroom and follow hallway through archway directly in front. Turn right when hallway ends at pictures and table. Follow hallway passed piano and stop in the circle on the hallway floor.,Follow hallway passed piano and stop in the circle on the hallway floor.,circle,LOC_in,1,circle,1,,
743,"Exit the room and turn left, head toward the kitchen and turn right. Go through the kitchen and out the door. Wait right at the bathroom door.",Wait right at the bathroom door.,bathroom door,LOC_at,1,bathroom door,1,,
748,Go toward the house and through the sliding doors.  Turn right and stop by the dinning room table.,Turn right and stop by the dinning room table.,dinning room table,LOC_by,1,dining room table,0,,
755,follow the bay windows then take a left. go slightly right and stop by the staircase.,go slightly right and stop by the staircase.,staircase,LOC_by,1,staircase,1,,
765,Turn right at the post and walk forward alongside the glass doors on the left. Wait in front of the pool table.,Wait in front of the pool table.,pool table,LOC_in_front_of,1,pool table,1,,
781,Move ahead in between bar and table to the chair.,Move ahead in between bar and table to the chair.,chair,MOTION_GOAL,1,chair,1,,
787,Leave the room and take a left int he hall. Enter the room which is first on the right.Take a right and stop on the rug in front of the animal head on the floor.,Enter the room which is first on the right.Take a right and stop on the rug in front of the animal head on the floor.,rug,LOC_on,1,animal head,0,,
804,Walk out of the room and past the stairs. Walk through the second hallway to the left. Turn left and walk into the room. Stop in front of the dining room table.,Stop in front of the dining room table.,dining room table,LOC_in_front_of,1,dining room table,1,,
810,"Leave the closet, and walk out of the bedroom. Stop once you exit the bedroom door.",Stop once you exit the bedroom door.,bedroom door,REACH_CLAUSE,1,bedroom door,1,,
821,Exit the bedroom. Walk by the bathroom. Take the first left. Walk through the first door on the left. Stop by the sink.,Stop by the sink.,sink,LOC_by,1,sink,1,,
824,Turn around and walk down the red rug and cross the room. Stop once you enter the next room and stop.,Stop once you enter the next room and stop.,room,REACH_CLAUSE,1,red rug,0,,
842,"Go straight, pass the piano and the pictures on the wall then turn left and head down the hallway then turn right and stop by the bed.",turn right and stop by the bed.,bed,LOC_by,1,bed,1,,
1051,Turn around and exit the doorway. Turn left and exit the door. Stop next to the pool.,Stop next to the pool.,pool,LOC_next_to,1,pool,1,,
1056,walk forward near the pool and make a right turn and stop at the doorway.,walk forward near the pool and make a right turn and stop at the doorway.,doorway,LOC_at,1,doorway,1,,
1061,Turn to your right and walk down the hallway past the piano to the end. Turn left when you reach the dresser drawers and stop in the doorway.,Turn left when you reach the dresser drawers and stop in the doorway.,doorway,LOC_in,1,doorway,1,,
1071,"Turn left and walk straight across the kitchen and through the storage area. Once out, turn right and then enter the last room on the left and stop in the doorway.",enter the last room on the left and stop in the doorway.,doorway,LOC_in,1,doorway,1,,
1077,Turn right and exit the kitchen and enter the hallway with the stairs.  Walk around the stair well and enter the laundry room.,Walk around the stair well and enter the laundry room.,laundry room,MOTION_GOAL,1,laundry room,1,,
1084,"Exit the bathroom and enter the hall. Take a left in the hall and then enter another hall. Take a right at this hall, then take a left to enter another bathroom.",take a left to enter another bathroom.,another bathroom,MOTION_GOAL,1,bathroom,0,,
1085,Exit the bathroom. Turn left and then turn right. Turn left and go into the other bathroom. Wait near the sink.,Wait near the sink.,sink,LOC_near,1,sink,1,,
1087,Face the indoor grill and turn right. Walk straight through the door way.  Walk passed the microwave on the left. Walk through the doorway and stop beside the door.,Walk through the doorway and stop beside the door.,door,LOC_beside,1,door,1,,
1092,Turn to face black door. Walk forward. Turn right to walk past stairs. Stop in front of door on right.,Stop in front of door on right.,door,LOC_in_front_of,1,door,1,,
1106,"Turn right into hall, walk straight into the kitchen, stop at refrigerator.","Turn right into hall, walk straight into the kitchen, stop at refrigerator.",refrigerator,LOC_at,1,refrigerator,1,,
1117,Go alongside the pool towards the bar directly in front of you.,Go alongside the pool towards the bar directly in front of you.,bar,MOTION_GOAL,1,bar,1,,
1133,Walk straight until you can't anymore then turn left. Wait near the door way straight ahead.,Wait near the door way straight ahead.,door way,LOC_near,1,doorway,0,,
1139,Exit the bedroom and walk strait across the hallway. Enter the door at the back of the bedroom and wait near the sink.,Enter the door at the back of the bedroom and wait near the sink.,sink,LOC_near,1,sink,1,,
1142,Turn left to face bed. Walk past bed and out of door. Walk across hall to next bedroom. Stop in doorway.,Stop in doorway.,doorway,LOC_in,1,doorway,1,,
1148,"walk towards fireplace, walk on the left side of the brown couch, turn right after couch, turn left after four person table and stop in front of barstools.","walk towards fireplace, walk on the left side of the brown couch, turn right after couch, turn left after four person table and stop in front of barstools.",barstools,LOC_in_front_of,1,barstools,1,,
1284,"Leave the fitness area, and go left. Take the first right at the wine room. Walk straight ahead into the TV room. Stop once you enter the room.",Stop once you enter the room.,room,REACH_CLAUSE,1,tv room,0,,
1301,Walk forward and enter the next room.  Stop at the doors on the far side.,Stop at the doors on the far side.,doors,LOC_at,1,doors on the far side,0,,
1307,Turn right and go straight past the table and chairs. Wait at the kitchen entrance.,Wait at the kitchen entrance.,kitchen entrance,LOC_at,1,wait,0,,
1406,Turn left and exit the bedroom. Walk past the stairs into the rightmost doorway. Wait by the entrance of the bedroom.,Wait by the entrance of the bedroom.,entrance of the bedroom,LOC_by,1,entrance of the bedroom,1,,
